sample_ID	filtered_reads_in_sample	kingdom	phylum	tclass	order	family	genus	species	subspecies	read_count	RPKMF	avg_read_identity	consensus_ref_identity	assembly_list
SEVAD_B10-C.p1733	17642042	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Betapapillomavirus	s__Betapapillomavirus 2	t__Human papillomavirus type 38b	8	0.06127868197349722	0.9925496688741723	0.9926470588235294	set:DQ090005
SEVAD_B7-B.p1733	27692928	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__Alphatorquevirus	s__Torque teno virus 16	t__Torque teno virus 16	78	0.7377170180059174	0.9718834145986469	0.984375	GCF_000889855.1
SEVAD_B7-B.p1733	27692928	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Roseolovirus	s__Roseolovirus humanbeta6b	t__Human betaherpesvirus 6B	28	0.0062368978788355485	0.9743245740190299	0.9834815756035579	GCF_000846365.1
SEVAD_B7-B.p1733	27692928	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__unclassified_Erythroparvovirus primate1	6	0.03896094469376831	0.9867549668874173	0.9233226837060703	acc:ON023025.1
SEVAD_B9-A.p1733	20865684	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Simplexvirus	s__Simplexvirus humanalpha1	t__Human alphaherpesvirus 1	104	0.03274336351604313	0.9858634742740707	0.9874577906415822	GCF_000859985.2
SEVAD_B9-A.p1733	20865684	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	79	0.6824298468782761	0.9895213345628304	0.9919093851132686	acc:ON023021.1
SEVAD_B5-A.p1733	18868562	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__Torque teno virus	174	2.47429257741736	0.9712046451310815	0.9647119875454073	set:AB064603
SEVAD_B5-A.p1733	18868562	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	243	2.3158721245831324	0.982469234077948	0.979041131778884	acc:ON023025.1
SEVAD_B6-B.p1733	23931064	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Dependoparvovirus	s__Dependoparvovirus primate1	t__adeno-associated virus 2	10	0.08930688603316084	0.975496688741722	0.9700176366843033	GCF_000838645.1
SEVAD_B6-B.p1733	23931064	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	30	0.2219548086486329	0.9774834437086096	0.9830508474576272	acc:ON023019.1
SEVAD_B5-B.p1733	23813778	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	47	0.3549087136459117	0.9888685360011276	0.9932735426008968	acc:ON023025.1
MODAD_B2-A.p1733	18287868	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__Torque teno virus	46	0.7045738771531296	0.9625694432682381	0.9689737470167065	set:AB064597
MODAD_B2-A.p1733	18287868	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	216	2.1239181573157837	0.982769193034094	0.9890909090909091	acc:ON023025.1
MODAD_B3-B.p1733	23670706	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__Torque teno virus	3	0.04162198097838093	0.9645390070921985	0.9645390070921985	set:KP343846
MODAD_B3-B.p1733	23670706	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__unclassified_Torque teno virus	1	0.011241700556960256	0.9337748344370861	0.9337748344370861	set:AJ620222
MODAD_B3-B.p1733	23670706	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Simplexvirus	s__Simplexvirus humanalpha1	t__Human alphaherpesvirus 1	32	0.008804639396242151	0.9989652317880795	1.0	acc:ON783215.1
MODAD_B3-B.p1733	23670706	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Betapapillomavirus	s__Betapapillomavirus 4	t__Human papillomavirus type 92	6	0.033973711856097016	0.9966887417218543	0.9959839357429718	GCF_000846285.1
MODAD_B3-B.p1733	23670706	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Zurhausenvirales	f__Papillomaviridae	g__Gammapapillomavirus	s__Gammapapillomavirus 14	t__Gammapapillomavirus 14	122	0.7199399224127546	0.9647828657260925	0.9627304825421734	set:MF588723
MODAD_B3-B.p1733	23670706	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	58	0.4338325106581596	0.9909796757250516	0.989778534923339	acc:ON023019.1
MODAD_B3-B.p1733	23670706	k__Viruses	p__Cossaviricota	c__Papovaviricetes	o__Sepolyvirales	f__Polyomaviridae	g__Alphapolyomavirus	s__Alphapolyomavirus quintihominis	t__Merkel cell polyomavirus	360	2.823217347224873	0.9966862724763061	0.9997421351211965	GCF_000874865.1
SEVAD_B1-B.p1733	23134388	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Anellovirus D_HF7_66	t__unclassified_Anellovirus D_HF7_66	81	0.9240647389948731	0.9416590278691643	0.9382621951219512	acc:OR148955.1
SEVAD_B1-B.p1733	23134388	k__Viruses	p__unclassified_Viruses	c__unclassified_Viruses	o__unclassified_Viruses	f__Anelloviridae	g__unclassified_Anelloviridae	s__Torque teno virus	t__Torque teno virus	2045	23.73061645679168	0.9548496056795196	0.9530716723549488	GCF_000893775.1
SEVAD_B1-B.p1733	23134388	k__Viruses	p__Peploviricota	c__Herviviricetes	o__Herpesvirales	f__Orthoherpesviridae	g__Roseolovirus	s__Roseolovirus humanbeta6b	t__Human betaherpesvirus 6B	94	0.02506393853226955	0.9797787062718755	0.9960994636762555	GCF_000846365.1
SEVAD_B1-B.p1733	23134388	k__Viruses	p__Cossaviricota	c__Quintoviricetes	o__Piccovirales	f__Parvoviridae	g__Erythroparvovirus	s__Erythroparvovirus primate1	t__Human parvovirus B19	52	0.40514350048217107	0.9753695878187851	0.9835497835497835	acc:ON023021.1
